MO,Tag,CQI & Group ID,Key,Parameter,Target Value
QciPara,INTERRATPOLICYCFGGROUPID,1,QciPara_INTERRATPOLICYCFGGROUPID_1,,0
QciPara,INTERRATPOLICYCFGGROUPID,5,QciPara_INTERRATPOLICYCFGGROUPID_5,,2
QciPara,INTERRATPOLICYCFGGROUPID,9,QciPara_INTERRATPOLICYCFGGROUPID_9,,3
INTERRATPOLICYCFGGROUP,UTRANHOCFG,0,INTERRATPOLICYCFGGROUP_UTRANHOCFG_0,PS_HO,0
INTERRATPOLICYCFGGROUP,UTRANHOCFG,0,INTERRATPOLICYCFGGROUP_UTRANHOCFG_0,SRVCC,1
INTERRATPOLICYCFGGROUP,UTRANHOCFG,0,INTERRATPOLICYCFGGROUP_UTRANHOCFG_0,REDIRECTION,0
INTERRATPOLICYCFGGROUP,UTRANHOCFG,2,INTERRATPOLICYCFGGROUP_UTRANHOCFG_2,PS_HO,0
INTERRATPOLICYCFGGROUP,UTRANHOCFG,3,INTERRATPOLICYCFGGROUP_UTRANHOCFG_3,PS_HO,0
INTERRATPOLICYCFGGROUP,UTRANHOCFG,2,INTERRATPOLICYCFGGROUP_UTRANHOCFG_2,SRVCC,0
INTERRATPOLICYCFGGROUP,UTRANHOCFG,3,INTERRATPOLICYCFGGROUP_UTRANHOCFG_3,SRVCC,0
INTERRATPOLICYCFGGROUP,UTRANHOCFG,2,INTERRATPOLICYCFGGROUP_UTRANHOCFG_2,REDIRECTION,1
INTERRATPOLICYCFGGROUP,UTRANHOCFG,3,INTERRATPOLICYCFGGROUP_UTRANHOCFG_3,REDIRECTION,1
INTERRATPOLICYCFGGROUP,GERANGSMHOCFG,0,INTERRATPOLICYCFGGROUP_GERANGSMHOCFG_0,SRVCC,1
INTERRATPOLICYCFGGROUP,GERANGSMHOCFG,2,INTERRATPOLICYCFGGROUP_GERANGSMHOCFG_2,SRVCC,0
INTERRATPOLICYCFGGROUP,GERANGSMHOCFG,3,INTERRATPOLICYCFGGROUP_GERANGSMHOCFG_3,SRVCC,0
INTERRATPOLICYCFGGROUP,GERANGPRSEDGEHOCFG,0,INTERRATPOLICYCFGGROUP_GERANGPRSEDGEHOCFG_0,PS_HO,0
INTERRATPOLICYCFGGROUP,GERANGPRSEDGEHOCFG,0,INTERRATPOLICYCFGGROUP_GERANGPRSEDGEHOCFG_0,CCO_HO,0
INTERRATPOLICYCFGGROUP,GERANGPRSEDGEHOCFG,0,INTERRATPOLICYCFGGROUP_GERANGPRSEDGEHOCFG_0,SRVCC,1
INTERRATPOLICYCFGGROUP,GERANGPRSEDGEHOCFG,0,INTERRATPOLICYCFGGROUP_GERANGPRSEDGEHOCFG_0,REDIRECTION,0
INTERRATPOLICYCFGGROUP,GERANGPRSEDGEHOCFG,2,INTERRATPOLICYCFGGROUP_GERANGPRSEDGEHOCFG_2,PS_HO,0
INTERRATPOLICYCFGGROUP,GERANGPRSEDGEHOCFG,2,INTERRATPOLICYCFGGROUP_GERANGPRSEDGEHOCFG_2,CCO_HO,0
INTERRATPOLICYCFGGROUP,GERANGPRSEDGEHOCFG,2,INTERRATPOLICYCFGGROUP_GERANGPRSEDGEHOCFG_2,SRVCC,0
INTERRATPOLICYCFGGROUP,GERANGPRSEDGEHOCFG,2,INTERRATPOLICYCFGGROUP_GERANGPRSEDGEHOCFG_2,REDIRECTION,1
INTERRATPOLICYCFGGROUP,GERANGPRSEDGEHOCFG,3,INTERRATPOLICYCFGGROUP_GERANGPRSEDGEHOCFG_3,PS_HO,0
INTERRATPOLICYCFGGROUP,GERANGPRSEDGEHOCFG,3,INTERRATPOLICYCFGGROUP_GERANGPRSEDGEHOCFG_3,CCO_HO,0
INTERRATPOLICYCFGGROUP,GERANGPRSEDGEHOCFG,3,INTERRATPOLICYCFGGROUP_GERANGPRSEDGEHOCFG_3,SRVCC,0
INTERRATPOLICYCFGGROUP,GERANGPRSEDGEHOCFG,3,INTERRATPOLICYCFGGROUP_GERANGPRSEDGEHOCFG_3,REDIRECTION,1
INTERRATHOCOMM,INTERRATHOUTRANB1MEASQUAN,,INTERRATHOCOMM_INTERRATHOUTRANB1MEASQUAN,,RSCP
